results/title,results/features/0/genre_ids,results/features/0/production_companies/0,results/features/0/release_date,results/features/0/vote_average,results/features/0/vote_count,results/features/0/budget,results/features/0/star_popularity,,labels
In the Name of the King 2: Two Worlds,12,22793,03/11/2011,4,92,4500000,8.979,,FALSE
The Godfather: Part II,18,4,20/12/1974,8.6,9104,13000000,18.645,,TRUE
Rogue One: A Star Wars Story,28,1,14/12/2016,7.5,12605,200000000,14.584,,TRUE
Overboard,10749,8573,13/04/2018,6.6,1093,12000000,12.685,,TRUE
Space Jam,16,174,15/11/1996,6.9,4799,80000000,1.708,,TRUE
Bird Box,53,13778,13/12/2018,6.9,7967,19800000,14.727,,FALSE
Chinese Zodiac,28,2726,20/12/2012,6.2,609,48000000,44.932,,TRUE
Hereditary,27,24277,07/06/2018,7.2,5395,10000000,6.078,,TRUE
Mission: Impossible - Rogue Nation,28,4,23/07/2015,7.2,7013,150000000,18.064,,TRUE
The Hunchback of Notre Dame,18,2,21/06/1996,7.1,4000,100000000,3.511,,TRUE
Shaolin Soccer,28,3477,05/07/2001,7,1567,10000005,5.899,,TRUE
Jeepers Creepers 2,27,53348,08/08/2003,6,1137,17000000,3.141,,TRUE
Friday the 13th,27,12,11/02/2009,5.8,1906,19000000,5.325,,TRUE
Spies in Disguise,16,7076,04/12/2019,7.7,2104,100000000,20.242,,TRUE
Friday the 13th Part 2,27,4,01/05/1981,6.1,1145,1250000,5.699,,TRUE
Locked Down,35,110799,25/02/2021,5.5,129,10000000,21.4,,FALSE
The Ridiculous 6,37,878,11/12/2015,5.1,1066,60000000,7.896,,FALSE
The Hunt,28,3172,11/03/2020,6.7,2059,14000000,9.194,,FALSE
The Grudge,27,829,22/10/2004,5.9,2290,10000000,5.502,,TRUE
Straight Outta Compton,18,63924,11/08/2015,7.8,2992,28000000,1.22,,TRUE
Man on a Ledge,28,491,13/01/2012,6.4,2064,42000000,7.894,,TRUE
The Spy Next Door,28,46062,15/01/2010,5.9,990,28000000,44.932,,TRUE
Girls Trip,35,49968,21/07/2017,6.8,1286,19000000,9.079,,TRUE
The Protector,28,8211,11/08/2005,7.1,600,6000000,6.744,,TRUE
Tower Heist,28,33,02/11/2011,6,2313,75000000,8.008,,TRUE
Norbit,35,2184,08/02/2007,5.6,1738,10000000,6.975,,TRUE
Predestination,878,10950,28/08/2014,7.4,5042,5500000,9.851,,FALSE
Tomb Raider,28,10038,05/03/2018,6.4,6412,94000000,15.757,,TRUE
Saving Private Ryan,18,4,24/07/1998,8.2,12385,70000000,22.904,,TRUE
The Emoji Movie,16,5,23/07/2017,5.6,2412,50000000,9.26,,TRUE
The Goonies,12,56,07/06/1985,7.5,4460,19000000,4.499,,TRUE
Trainwreck,35,33,17/07/2015,5.8,2218,35000000,5.304,,TRUE
Hulk,28,19551,19/06/2003,5.5,4549,137000000,5.945,,TRUE
God's Not Dead 2,18,79986,01/04/2016,6.1,311,5000000,12.939,,TRUE
Gladiator,28,33,01/05/2000,8.2,14394,103000000,9.386,,TRUE
Fireproof,18,9118,26/09/2008,7.4,464,500000,1.4,,TRUE
A Nightmare on Elm Street,27,2481,30/04/2010,5.5,2124,35000000,3.85,,TRUE
The Blair Witch Project,27,15160,14/07/1999,6.3,3521,60000,2.744,,TRUE
Neighbors,35,17393,08/05/2014,6.2,5928,18000000,9.181,,TRUE
Angel Has Fallen,28,48738,21/08/2019,6.5,2553,40000000,12.856,,TRUE
The Terminator,28,41,26/10/1984,7.6,9955,6400000,7.654,,TRUE
Sherlock Holmes,28,174,01/01/2009,7.2,11781,90000000,20.481,,TRUE
Alvin and the Chipmunks: The Road Chip,12,22213,17/12/2015,6.1,1302,90000000,8.48,,TRUE
Miss March,35,3638,13/03/2009,5.5,258,6000000,1.387,,FALSE
The Santa Clause,14,2,11/11/1994,6.4,1476,22000000,4.479,,TRUE
The Iceman,53,1872,01/09/2012,6.5,782,20000000,5.425,,FALSE
Gods of Egypt,28,3528,25/02/2016,5.6,3313,140000000,11.485,,TRUE
Scream 4,27,7405,11/04/2011,6.3,2377,40000000,10.388,,TRUE
Self/less,878,11092,10/07/2015,6.4,2477,26000000,41.155,,TRUE
Jingle All the Way,10751,436,21/11/1996,5.9,1928,60000000,18.005,,TRUE
High School,35,25755,03/06/2010,5.8,104,10000000,16.898,,FALSE
Blackhat,80,33,13/01/2015,5.4,1609,70000000,16.885,,FALSE
Catch Me If You Can,18,11084,25/12/2002,7.9,11771,52000000,19.353,,TRUE
Mainstream,35,7625,07/05/2021,5.2,29,5000000,37.019,,FALSE
What Happened to Monday,878,7561,18/08/2017,7.2,5031,20000000,16.519,,TRUE
Se7en,80,12,22/09/1995,8.3,16113,33000000,16.914,,TRUE
Percy Jackson: Sea of Monsters,12,711,07/08/2013,6,4302,90000000,8.81,,TRUE
Pearl Harbor,28,130,21/05/2001,6.9,5035,140000000,7.925,,TRUE
Zathura: A Space Adventure,10751,2550,06/11/2005,6.4,2527,65000000,6.403,,TRUE
The Princess Diaries 2: Royal Engagement,35,26423,06/08/2004,6.6,2650,40000000,21.4,,TRUE
One Day,18,5420,02/03/2011,7.4,3353,15000000,21.4,,TRUE
Storks,12,41624,22/09/2016,6.6,1881,70000000,16.114,,TRUE
The Faculty,27,11705,25/12/1998,6.5,1419,15000000,9.587,,TRUE
The Hills Have Eyes,27,43,10/03/2006,6.4,2203,15000000,2.656,,TRUE
300,28,449,07/03/2007,7.2,11190,65000000,12.856,,TRUE
Hachi: A Dog's Tale,18,7419,13/06/2009,8,5368,16000000,10.276,,TRUE
It Follows,27,52739,04/02/2015,6.6,4980,2000000,5.819,,TRUE
Shrek the Halls,12,521,28/11/2007,6.2,588,60000000,5.468,,FALSE
Solo: A Star Wars Story,878,1,15/05/2018,6.6,6657,250000000,2.829,,TRUE
The Witch,27,79436,27/01/2015,6.8,5104,4000000,23.862,,TRUE
Minions,10751,6704,17/06/2015,6.4,8980,74000000,14.727,,TRUE
Neighbors 2: Sorority Rising,35,10338,04/05/2016,5.8,3751,35000000,9.181,,TRUE
Reasonable Doubt,80,6819,17/01/2014,5.9,444,8000000,22.614,,FALSE
The Craft,27,5,03/05/1996,6.7,1322,15000000,9.336,,TRUE
Dr. No,12,60,07/10/1962,7,2626,950000,6.707,,TRUE
Predator 2,878,1302,20/11/1990,6.2,2196,35000000,6.404,,TRUE
The Girl Next Door,35,1171,09/04/2004,6.7,2583,21000000,5.564,,TRUE
A Monster in Paris,12,6896,12/10/2011,6.8,968,25000000,1.59,,FALSE
"Tad, the Lost Explorer",16,694,10/08/2012,6,393,10500000,0.6,,TRUE
Valerian and the City of a Thousand Planets,12,98007,20/07/2017,6.6,6100,177200000,9.843,,TRUE
Bad Boys II,12,10288,18/07/2003,6.6,4242,130000000,20.242,,TRUE
Mr. Popper's Penguins,35,1302,17/06/2011,5.9,2310,55000000,16.29,,TRUE
Silk Road,80,22309,19/02/2021,6.8,113,5900000,7.534,,FALSE
Wrong Turn 6: Last Resort,27,47,22/08/2014,5.3,574,1200000,1.102,,FALSE
Man of Tai Chi,28,14714,04/07/2013,6,671,25000000,1.4,,FALSE
The Thing,27,33,25/06/1982,8,4957,15000000,9.836,,TRUE
Piranha,27,1950,03/08/1978,5.9,434,660000,1.228,,TRUE
Saw 3D,27,1632,21/10/2010,6,2235,20000000,10.264,,TRUE
Artemis Fowl,12,11391,12/06/2020,5.7,1276,125000000,0.652,,FALSE
The Boy in the Striped Pyjamas,10752,288,07/05/2008,7.9,5523,12500000,16.29,,TRUE
Jason Bourne,28,862,27/07/2016,6.3,4705,120000000,17.865,,TRUE
Captain Underpants: The First Epic Movie,10751,521,01/06/2017,6.2,917,38000000,10.293,,TRUE
War of the Arrows,18,7819,10/08/2011,7.1,178,8000000,2.929,,TRUE
Perfume: The Story of a Murderer,80,1208,13/09/2006,7.3,3432,50000000,14.308,,TRUE
Saw II,27,1053,28/10/2005,6.6,3975,4000000,10.264,,TRUE
Huevos: Little Rooster's Egg-Cellent Adventure,16,37938,04/09/2015,7,167,5300000,3.289,,TRUE
The Santa Clause 2,14,2,31/10/2002,5.9,954,65000000,4.479,,TRUE
The Chronicles of Narnia: The Voyage of the Dawn Treader,12,711,02/12/2010,6.4,4524,155000000,8.57,,TRUE
Léon: The Professional,80,9,14/09/1994,8.3,11497,16000000,6.013,,TRUE
The Return of Jafar,10751,3475,20/05/1994,6.1,2195,3500000,2.456,,FALSE
Mr. Peabody & Sherman,16,520,07/02/2014,6.7,1921,145000000,5.261,,TRUE
Halloween 4: The Return of Michael Myers,27,15822,21/10/1988,6.1,1059,5000000,8.922,,TRUE
Hellboy,14,48738,10/04/2019,5.5,2594,50000000,6.407,,FALSE
Independence Day,28,25,25/06/1996,6.8,7697,75000000,20.242,,TRUE
The Interview,28,16615,25/12/2014,6.2,4726,44000000,7.716,,FALSE
The Wind Rises,10751,10342,20/07/2013,7.8,2106,30000000,4.247,,TRUE
The Prince of Egypt,12,521,16/12/1998,7.2,3009,70000000,8.113,,TRUE
Silver Linings Playbook,18,308,08/09/2012,7.1,10140,21000000,11.726,,TRUE
Whiplash,18,2266,10/10/2014,8.4,11606,3300000,8.359,,TRUE
Full Metal Jacket,18,50819,26/06/1987,8.1,8096,30000000,2.02,,TRUE
The Peanuts Movie,12,9383,01/11/2015,6.8,1268,99000000,3.945,,TRUE
Armageddon,28,9195,01/07/1998,6.8,6256,140000000,23.315,,TRUE
American Pie Presents: Band Camp,35,134,30/10/2005,5.5,1673,10000000,6.083,,FALSE
Hunter Killer,28,333,19/10/2018,6.8,1590,40000000,12.856,,FALSE
Puss in Boots,28,521,28/10/2011,6.4,2411,130000000,5.97,,TRUE
Akira,16,10920,16/07/1988,8,2898,10000000,1.094,,FALSE
Shooter,28,4,22/03/2007,7.1,3653,61000000,24.719,,TRUE
"The Good, the Bad and the Ugly",37,60,23/12/1966,8.5,6264,1200000,21.283,,TRUE
Woodlawn,18,34,15/10/2015,7,138,12000000,11.778,,TRUE
Gemini Man,878,82819,02/10/2019,6.4,4030,138000000,20.242,,TRUE
Rocky,18,8880,21/11/1976,7.8,5759,1000000,16.218,,TRUE
Jason X,27,21783,24/07/2001,4.8,941,11000000,1.683,,TRUE
Hoodwinked Too! Hood VS. Evil,35,7582,29/04/2011,5.2,423,30000000,6.29,,FALSE
Tomorrowland,12,20656,19/05/2015,6.2,5944,190000000,8.447,,TRUE
The Lego Movie 2: The Second Part,28,829,26/01/2019,6.7,1558,100000000,15.423,,TRUE
Don't Kill It,14,36685,27/08/2016,6.2,152,3500000,8.979,,FALSE
Sky Sharks,27,44725,07/10/2020,5.2,49,5920000,3.805,,FALSE
Scream,80,7405,20/12/1996,7.3,4598,14000000,10.388,,TRUE
Scary Stories to Tell in the Dark,27,81671,08/08/2019,6.5,1995,25000000,4.482,,TRUE
The Raven,80,7295,09/03/2012,6.3,1013,26000000,6.398,,TRUE
The Boss Baby,16,521,23/03/2017,6.5,6003,125000000,9.798,,TRUE
The Happening,53,444,11/06/2008,5.3,2645,60000000,24.719,,TRUE
Courageous,18,559,30/09/2011,7.5,251,1000000,0.683,,TRUE
Chicken Run,16,521,21/06/2000,6.7,3835,45000000,12.025,,TRUE
House of Wax,27,79,30/04/2005,5.9,2222,40000000,25.773,,TRUE
Dumbo,10751,8601,27/03/2019,6.7,3627,170000000,10.262,,TRUE
Vacation,35,12,28/07/2015,6.3,2964,31000000,9.05,,TRUE
Monsters vs Aliens,16,521,19/03/2009,6.2,3650,175000000,14.623,,TRUE
Max Steel,28,53592,14/10/2016,5.6,602,10000000,3.279,,FALSE
Rings,27,4,01/02/2017,5,2171,25000000,14.72,,TRUE
6 Bullets,53,23283,11/09/2012,6,241,10000000,17.56,,FALSE
Along with the Gods: The Two Worlds,18,7819,14/12/2017,8.1,457,18300000,2.346,,TRUE
Watchmen,28,429,04/03/2009,7.3,7228,130000000,4.75,,TRUE
High School Musical,35,42053,20/01/2006,6.6,3861,4200000,9.517,,FALSE
Wonder,18,1632,13/11/2017,8.2,6573,20000000,14.407,,TRUE
We're the Millers,35,17929,07/08/2013,6.8,7226,37000000,9.566,,TRUE
The Truman Show,35,4,04/06/1998,8.1,13944,60000000,16.29,,TRUE
The Pianist,18,250,17/09/2002,8.4,6807,35000000,16.898,,TRUE
The Lego Movie,12,174,06/02/2014,7.4,6344,60000000,15.423,,TRUE
Paddington 2,12,437,09/11/2017,7.5,1563,40000000,14.308,,TRUE
Scott Pilgrim vs. the World,35,33,12/08/2010,7.4,6018,85000000,6.274,,FALSE
Teen Titans Go! To the Movies,16,2785,27/07/2018,7.4,892,10000000,1.526,,TRUE
Kill Bill: Vol. 1,28,14,10/10/2003,8,13953,30000000,10.601,,TRUE
Space Pirate Captain Harlock,16,5542,07/09/2013,6.6,844,30000000,6.425,,FALSE
Dragon Blade,28,74459,19/02/2015,6.3,423,65000000,44.932,,TRUE
Insidious: The Last Key,27,11341,03/01/2018,6.2,2130,10000000,5.672,,TRUE
Little Man,35,1608,31/08/2006,5.9,1257,64000000,4.677,,TRUE
Facing the Giants,18,73120,29/09/2006,7.5,287,100000,0.608,,TRUE
Men of Honor,18,711,13/09/2000,7.4,1650,82343495,7.459,,FALSE
War Room,18,144570,28/08/2015,7.9,332,3000000,1.708,,TRUE
The Call,80,15462,14/03/2013,6.8,2392,13000000,14.122,,TRUE
Death Note,80,829,25/08/2017,4.2,3354,40000000,4.561,,FALSE
Terminator 3: Rise of the Machines,28,5,02/07/2003,6.1,5156,200000000,18.005,,TRUE
Blood Diamond,18,449,26/01/2006,7.5,5929,100000000,19.353,,TRUE
God's Not Dead,18,6427,21/03/2014,6,706,17000000,4.224,,TRUE
Thir13en Ghosts,27,1786,26/10/2001,6.2,1512,42000000,3.2,,TRUE
The 5th Wave,878,34034,14/01/2016,5.9,4932,38000000,38.089,,TRUE
Blade,27,12,21/08/1998,6.7,4540,45000000,6.676,,TRUE
Ouija: Origin of Evil,27,2481,20/10/2016,6.1,1963,9000000,5.858,,TRUE
The Scorpion King 3: Battle for Redemption,28,17009,17/01/2012,4.5,247,5000000,7.108,,FALSE
Indiana Jones and the Last Crusade,12,4,24/05/1989,7.8,7758,48000000,10.614,,TRUE
Child 44,80,491,15/03/2015,6.3,1310,50000000,66.759,,FALSE
The Curious Case of Benjamin Button,18,4,25/12/2008,7.6,10194,150000000,14.959,,TRUE
Saw V,27,1632,23/10/2008,6.2,2584,10800000,10.264,,TRUE
Midway,10752,110799,06/11/2019,7.1,1708,100000000,7.546,,TRUE
Sinbad: Legend of the Seven Seas,10751,521,02/07/2003,6.9,1566,60000000,14.959,,TRUE
The Texas Chain Saw Massacre,27,1197,01/10/1974,7.3,2142,85000,3.115,,TRUE
Jumper,28,444,13/02/2008,6.1,4570,85000000,9.23,,TRUE
Truth or Dare,53,3172,12/04/2018,6,3323,3500000,18.626,,TRUE
Bruce Almighty,14,160,23/05/2003,6.7,8772,80000000,16.29,,TRUE
Underworld,14,3287,19/09/2003,6.8,5037,22000000,18.2,,TRUE
Justice League: The Flashpoint Paradox,878,11671,30/07/2013,7.9,1349,3500000,2.881,,FALSE
A Dog's Way Home,18,30148,10/01/2019,7.2,779,18000000,8.505,,FALSE
The Game Plan,35,80510,28/09/2007,6.4,1565,22000000,49.662,,TRUE
Bāhubali: The Beginning,28,57946,10/07/2015,7.5,539,25130430,0.941,,TRUE
Never Back Down 2: The Beatdown,18,11341,13/09/2011,6.4,495,3000000,14.405,,FALSE
After Porn Ends,99,12357,21/05/2012,5.7,197,400000,1.112,,FALSE
Life Is Beautiful,35,370,20/12/1997,8.5,10611,20000000,3.236,,TRUE
Atomic Blonde,28,10146,26/07/2017,6.4,5187,30000000,17.316,,TRUE
Justice League: The New Frontier,28,2785,26/02/2008,6.9,379,3500000,7.233,,TRUE
Texas Chainsaw 3D,27,925,03/01/2013,5.5,1179,10000000,30.032,,FALSE
Schindler's List,18,33,30/11/1993,8.6,12074,22000000,19.304,,TRUE
Matilda,35,216,02/08/1996,7.1,3336,36000000,7.719,,FALSE
Get Out,9648,88934,24/02/2017,7.6,13480,4500000,4.197,,TRUE
The Ring,27,6363,18/10/2002,6.6,4802,48000000,15.025,,TRUE
"Everything, Everything",18,10067,18/05/2017,7.3,3353,10000000,6.117,,TRUE
How the Grinch Stole Christmas!,16,8811,18/12/1966,7.5,738,315000,4.371,,FALSE
The Pursuit of Happyness,18,1423,14/12/2006,7.9,7839,55000000,20.242,,TRUE
The Greatest Showman,18,7076,20/12/2017,8,7765,84000000,12.278,,TRUE
Night of the Living Dead,27,13282,19/10/1990,6.8,630,4200000,2.514,,TRUE
The Unborn,27,134,09/01/2009,5.2,1085,16000000,10.138,,TRUE
The Next Three Days,10749,6320,18/11/2010,7.1,2228,30000000,9.386,,TRUE
The Amityville Horror,27,2481,14/04/2005,6.1,1689,19000000,41.155,,TRUE
War Dogs,35,1557,17/08/2016,6.9,3654,40000000,8.359,,TRUE
Annihilation,878,284,22/02/2018,6.4,6822,40000000,9.743,,TRUE
Cold Pursuit,28,694,07/02/2019,5.7,1911,60000000,19.304,,TRUE
Not Another Teen Movie,35,2882,07/12/2001,5.7,1503,16000000,10.414,,TRUE
Death Note,14,6755,17/06/2006,7,479,20000000,2.591,,TRUE
Charlie's Angels,28,34,14/11/2019,6.6,2274,48000000,22.187,,TRUE
Pretty Woman,10749,9195,23/03/1990,7.4,6074,14000000,10.276,,TRUE
Hocus Pocus,35,2,16/07/1993,7,2029,28000000,3.877,,TRUE
Skin Trade,53,52254,07/11/2014,6.1,179,10000000,8.979,,FALSE
Antebellum,27,1632,02/09/2020,6.4,625,15000000,2.117,,FALSE
Smurfs: The Lost Village,10751,7311,23/03/2017,6.3,1136,60000000,3.302,,TRUE
Lady Bird,18,93105,08/09/2017,7.3,6717,10000000,5.228,,TRUE
The Evil Dead,27,467,10/09/1981,7.3,2722,350000,5.625,,TRUE
Dunkirk,10752,174,19/07/2017,7.5,13450,100000000,4.034,,TRUE
Krampus,27,33,26/11/2015,6.1,1532,15000000,2.15,,TRUE
Tammy,35,4740,02/07/2014,5.3,1018,20000000,18.605,,TRUE
The American,80,20899,31/08/2010,5.9,1024,20000000,8.447,,TRUE
Dawn of the Dead,28,572,19/03/2004,7,2964,28000000,2.685,,TRUE
The Green Inferno,28,55497,04/09/2014,5.6,1033,5000000,7.043,,TRUE
Uncut Gems,18,41077,30/08/2019,7.1,3307,19000000,7.896,,TRUE
Friday the 13th,27,16779,09/05/1980,6.4,2064,550000,1.74,,TRUE
Underworld: Evolution,14,3287,12/01/2006,6.6,3239,50000000,18.2,,TRUE
Hitman,28,867,21/11/2007,6.1,2545,24000000,14.097,,TRUE
Bachelorette,35,4740,23/01/2012,5.4,1031,3000000,15.534,,TRUE
28 Days Later,27,284,31/10/2002,7.2,5056,5000000,25.652,,TRUE
Hostel: Part II,27,35,08/06/2007,5.8,1490,10200000,10.358,,TRUE
You Don't Mess with the Zohan,35,7295,05/06/2008,5.7,2906,90000000,7.896,,TRUE
The Fifth Element,12,9,02/05/1997,7.5,8601,90000000,23.315,,TRUE
Journey to the Center of the Earth,28,12,10/07/2008,6,3861,45000000,9.913,,TRUE
A Clockwork Orange,878,174,19/12/1971,8.2,10134,2200000,6.78,,TRUE
From Russia with Love,28,60,10/10/1963,7.1,2131,2000000,6.707,,TRUE
The Exorcism of Emily Rose,80,126,09/09/2005,6.5,2124,19000000,5.989,,TRUE
Mama,27,33,17/01/2013,6.2,3426,15000000,10.049,,TRUE
"Love, Simon",35,12292,16/02/2018,8.1,5168,17000000,10.354,,TRUE
Kiki's Delivery Service,16,10342,29/07/1989,7.8,2818,6900000,2.848,,FALSE
Kick-Ass 2,28,5374,17/07/2013,6.4,5058,28000000,7.613,,TRUE
Peter Rabbit,16,5,07/02/2018,6.7,1344,50000000,3.479,,TRUE
Citizen Kane,9648,11447,17/04/1941,8,4157,839727,5.342,,TRUE
Hook,12,56,10/04/1991,6.8,4240,70000000,8.502,,TRUE
The Dark Tower,14,2531,03/08/2017,5.7,4144,60000000,16.309,,TRUE
The Cabin in the Woods,27,1632,12/04/2012,6.6,6207,30000000,16.885,,TRUE
American Wedding,35,52942,01/08/2003,6.2,3265,55000000,4.095,,TRUE
Dolittle,10751,33,01/01/2020,6.8,2748,175000000,20.481,,TRUE
Drag Me to Hell,27,33,15/03/2009,6.3,2759,30000000,4.793,,TRUE
The Invisible Guest,18,10128,06/01/2017,8.2,3491,4000000,12.975,,TRUE
The Return of the Living Dead,35,469,25/04/1985,7.2,1216,4000000,1.988,,TRUE
Meet the Spartans,35,10104,24/01/2008,4,1244,30000000,4.051,,TRUE
Mission: Impossible,12,4,22/05/1996,6.9,6693,80000000,18.064,,TRUE
Transporter 3,28,6877,26/11/2008,6.1,2613,30000000,36.825,,TRUE
National Lampoon's Christmas Vacation,35,174,30/11/1989,7.2,1673,27000000,5.639,,TRUE
Sleepy Hollow,18,4,18/11/1999,7.1,5231,100000000,17.926,,TRUE
Jigsaw,27,2061,26/10/2017,6.2,2838,10000000,6.27,,TRUE
Killers,28,817,04/06/2010,5.9,1825,75000000,9.749,,TRUE
Max,12,83397,26/06/2015,7.1,620,20000000,3.463,,TRUE
Nacho Libre,35,4,16/06/2006,6.2,1156,35000000,9.805,,TRUE
A-X-L,878,126,23/08/2018,6.3,950,10000000,3.351,,FALSE
Sky High,12,56980,29/07/2005,6.2,1842,35000000,2.809,,TRUE
Good Will Hunting,18,14,05/12/1997,8.1,9110,10000000,17.865,,TRUE
Underworld: Rise of the Lycans,14,3287,22/01/2009,6.5,2907,35000000,15.879,,TRUE
Left Behind,53,16558,03/10/2014,4.2,1047,16000000,21.264,,TRUE
The Beguiled,18,90281,23/06/2017,5.9,1822,10500000,10.262,,TRUE
King Kong,12,33,12/12/2005,6.8,6298,207000000,15.025,,TRUE
Rocky V,18,60,16/11/1990,5.7,2338,42000000,16.218,,TRUE
Resident Evil,27,3287,15/03/2002,6.6,4932,33000000,13.465,,TRUE
Ben-Hur,28,21,18/11/1959,7.8,1951,15000000,7.813,,TRUE
Letters to Juliet,35,491,13/05/2010,7,2433,30000000,15.917,,TRUE
The World's End,35,10146,18/07/2013,6.8,4281,20000000,8.486,,TRUE
Double Impact,53,3470,31/07/1991,6,731,15000000,17.56,,TRUE
Raiders of the Lost Ark,12,4,12/06/1981,7.9,9629,18000000,10.614,,TRUE
Young & Beautiful,18,104,21/08/2013,6.5,939,5446287,6.776,,TRUE
Drive Angry,14,491,24/02/2011,5.5,1435,50000000,21.264,,FALSE
The Mummy,14,90517,06/06/2017,5.5,5951,125000000,18.064,,TRUE
The Nutcracker and the Four Realms,14,2,26/10/2018,6.1,1768,120000000,16.914,,FALSE
Kama Sutra: A Tale of Love,18,6236,11/09/1996,5.7,112,3000000,4.669,,TRUE
Caught by a Wave,18,28699,25/03/2021,6.8,174,2000000,0.6,,FALSE
The Darkest Minds,878,2575,25/07/2018,7,2168,34000000,6.117,,TRUE
The Circle,18,4171,27/04/2017,5.5,3732,18000000,17.038,,TRUE
The Bourne Identity,28,33,14/06/2002,7.4,7401,60000000,17.865,,TRUE
I Am Number Four,28,9195,18/02/2011,6.2,3875,50000000,6.104,,TRUE
App,53,44429,03/04/2013,5.1,57,2000000,5.547,,FALSE
Thunderball,12,7576,11/12/1965,6.6,1614,5500000,6.707,,TRUE
Halloween,27,14323,24/10/1978,7.6,3955,325000,2.903,,TRUE
Rambo III,28,559,24/05/1988,6.1,2308,63000000,16.218,,TRUE
Zookeeper,35,8000,06/07/2011,5.4,1297,80000000,5.206,,TRUE
First Blood,28,41,22/10/1982,7.4,4664,15000000,16.218,,TRUE
Bāhubali 2: The Conclusion,28,57946,27/04/2017,7.3,497,31000000,0.941,,TRUE
The Mummy: Tomb of the Dragon Emperor,12,33,01/07/2008,5.4,3535,145000000,9.913,,TRUE
Ong Bak 2,12,3182,04/12/2008,6.4,473,8500000,6.744,,TRUE
Piranha 3D,35,308,20/08/2010,5.4,1673,24000000,14.691,,TRUE
Pitch Perfect,35,12365,28/09/2012,7.3,5597,17000000,8.3,,TRUE
Pet Sematary,27,4,21/04/1989,6.6,1567,11500000,2.036,,TRUE
Daddy's Home 2,35,19177,09/11/2017,6.3,1956,69000000,8.111,,TRUE
Jason Goes to Hell: The Final Friday,27,17611,13/08/1993,4.5,655,3000000,1.683,,TRUE
Turbo,16,521,11/07/2013,6.2,2548,135000000,41.155,,TRUE
127 Hours,12,43,12/11/2010,7.1,6105,18000000,7.716,,TRUE
High School Musical 3: Senior Year,35,2,11/10/2008,6.6,2990,11000000,9.517,,TRUE
A Nightmare on Elm Street,27,12,09/11/1984,7.3,3750,1800000,2.916,,TRUE
Edward Scissorhands,14,25,05/12/1990,7.7,10427,20000000,17.926,,TRUE
Arthur Christmas,18,5,10/11/2011,6.7,1056,10000000,14.368,,FALSE
Star Wars: Episode III - Revenge of the Sith,878,1,17/05/2005,7.4,10853,113000000,9.23,,TRUE
The Santa Clause 3: The Escape Clause,35,2,01/11/2006,5.4,769,12000000,4.479,,TRUE
Personal Shopper,18,9111,19/10/2016,5.9,973,6000000,22.187,,FALSE
Quest for Camelot,14,174,15/05/1998,6.9,638,40000000,6.961,,FALSE
Transformers: Dark of the Moon,28,4,28/06/2011,6.1,6644,195000000,9.026,,TRUE
Children of Heaven,18,11459,01/08/1997,8,410,180000,0.6,,TRUE
Oz the Great and Powerful,14,16314,07/03/2013,5.9,5787,200000000,7.716,,TRUE
Star Trek Beyond,28,82819,07/07/2016,6.8,5508,185000000,10.813,,TRUE
Selena,10402,9313,21/03/1997,7.8,962,20000000,4.917,,TRUE
A Cinderella Story,35,8807,10/07/2004,6.5,2631,19000000,2.305,,TRUE
Green Lantern: First Flight,28,429,28/07/2009,6.9,310,3500000,5.139,,FALSE
"Batman: The Dark Knight Returns, Part 1",878,429,21/08/2012,7.8,1143,3500000,9.706,,FALSE
Star Wars: Episode I - The Phantom Menace,12,1,19/05/1999,6.5,11584,115000000,19.304,,TRUE
"I, Robot",28,1302,15/07/2004,6.9,9569,120000000,20.242,,TRUE
Lovelace,18,2123,08/08/2013,6,523,10000000,15.917,,FALSE
Midsommar,27,39407,03/07/2019,7.1,4286,9000000,12.592,,TRUE
Leprechaun 2,35,6562,07/04/1994,5.5,203,2000000,3.252,,TRUE
Date Night,35,444,08/04/2010,6.1,2290,55000000,13.271,,TRUE
The Little Prince,12,15433,29/07/2015,7.6,2266,64000000,9.108,,TRUE
The Rover,80,6237,04/06/2014,6.3,704,12250000,15.001,,FALSE
Pet Sematary,27,435,04/04/2019,5.7,2566,21000000,7.534,,TRUE
The Ritual,27,8147,11/10/2017,6.2,2114,10000000,5.387,,FALSE
Death Wish,28,21,02/03/2018,6.1,2043,30000000,23.315,,TRUE
Nanny McPhee,14,21,21/10/2005,6.6,2440,25000000,15.196,,TRUE
The Boy,27,126,22/01/2016,5.9,3097,10000000,16.962,,TRUE
Justice League: War,16,9993,02/02/2014,7.6,778,3500000,16.028,,TRUE
The Wedding Ringer,35,3287,16/01/2015,6.5,1300,23000000,10.293,,TRUE
The DUFF,10749,4022,20/02/2015,6.8,3870,8500000,10.976,,TRUE
Nanny McPhee and the Big Bang,35,1973,26/03/2010,6.3,1433,25000000,15.196,,TRUE
Saw VI,27,1632,16/10/2009,6.3,2353,11000000,10.264,,TRUE
Apocalypse Now,18,60,15/08/1979,8.3,6169,31500000,8.024,,TRUE
Lights Out,27,174,21/07/2016,6.3,3137,4900000,11.021,,TRUE
"Crazy, Stupid, Love.",35,174,29/07/2011,7.2,6581,50000000,13.271,,TRUE
Grease,10749,4,07/07/1978,7.4,5817,6000000,8.033,,TRUE
Rocky II,18,8880,15/06/1979,7.2,3200,7000000,16.218,,TRUE
