results/title,results/features/0/genre_ids,results/features/0/production_companies/0,results/features/0/release_date,results/features/0/vote_average,results/features/0/vote_count,results/features/0/budget,results/features/0/star_popularity,labels
Finding Nemo,16,3,30/05/2003,7.8,15677,94000000,8.199,TRUE
The Twilight Saga: Breaking Dawn - Part 1,12,491,16/11/2011,6.2,7260,110000000,28.263,TRUE
The Purge: Election Year,28,729,29/06/2016,6.4,4290,10000000,5.46,TRUE
Incredibles 2,28,2,14/06/2018,7.5,10437,200000000,3.509,TRUE
Tangled,16,6125,24/11/2010,7.6,8957,260000000,3.299,TRUE
Bad Lieutenant: Port of Call - New Orleans,18,925,21/05/2009,6.1,824,25000000,12.579,FALSE
The Fox and the Hound 2,12,5391,09/11/2006,6.1,514,24000000,3.212,FALSE
Blended,35,20788,21/05/2014,6.8,2652,40000000,9.491,TRUE
Sucker Punch,28,923,24/03/2011,6.1,3795,82000000,7.837,TRUE
Stan Helsing,35,2865,27/10/2009,4.2,341,108,7.187,FALSE
Monkey King: Hero Is Back,14,59387,10/07/2015,7,156,10000000,0.6,TRUE
Hitman's Wife's Bodyguard,28,1020,14/06/2021,7,907,50000000,56.571,TRUE
Lilo & Stitch,16,2,21/06/2002,7.5,4746,80000000,3.017,TRUE
That's My Boy,35,7295,14/06/2012,5.7,1363,70000000,9.491,FALSE
Mad Max: Fury Road,28,2537,13/05/2015,7.5,18670,150000000,68.407,TRUE
Dinosaur,10751,6125,19/05/2000,6.5,1893,127500000,4.712,TRUE
Zombieland,35,11733,07/10/2009,7.3,9910,23600000,25.201,TRUE
Pirates of the Caribbean: Dead Men Tell No Tales,12,2,23/05/2017,6.6,9680,230000000,18.006,TRUE
Hansel & Gretel: Witch Hunters,14,4,17/01/2013,6,5682,50000000,20.138,TRUE
The Nun,27,12,05/09/2018,5.8,4934,22000000,2.315,TRUE
Dead Like Me: Life After Death,18,21,17/02/2009,6.2,152,5000000,1.302,FALSE
The Dark Knight Rises,28,9996,16/07/2012,7.8,18602,250000000,14.445,TRUE
Wonder Woman,28,507,30/05/2017,7.3,17087,149000000,29.755,TRUE
Aquaman,28,429,06/07/2018,6.9,11093,160000000,17.408,TRUE
A Bug's Life,12,3,25/11/1998,7,7304,120000000,3.047,TRUE
American Sniper,10752,41624,25/12/2014,7.4,10650,58800000,9.837,TRUE
Ice Age: The Meltdown,16,11749,29/03/2006,6.7,7924,80000000,2.548,TRUE
Lolita,18,7981,27/09/1997,7.1,1169,62000000,4.874,FALSE
A Christmas Carol,16,2,04/11/2009,6.8,3578,200000000,11.514,TRUE
No Strings Attached,35,817,21/01/2011,6.3,3865,25000000,12.407,TRUE
Inside Out,16,3,09/06/2015,7.9,17158,175000000,3.795,TRUE
Tarzan,10751,6125,18/06/1999,7.4,5346,130000000,3.689,TRUE
Beauty and the Beast,10749,6125,22/10/1991,7.7,8051,25000000,0.805,TRUE
Penguins of Madagascar,10751,521,22/11/2014,6.5,3278,132000000,2.998,TRUE
Hitman: Agent 47,28,86352,20/08/2015,5.8,2424,35000000,10.275,TRUE
Conan the Barbarian,12,552,17/08/2011,5.3,1459,90000000,17.408,FALSE
White Snake,10749,67089,11/01/2019,7.8,245,11936735,2.716,TRUE
Despicable Me 2,16,6704,26/06/2013,6.9,9409,76000000,10.33,TRUE
101 Dalmatians,10751,2173,27/11/1996,5.9,2672,54000000,2.759,TRUE
22 Bullets,18,6896,23/03/2010,6.6,912,24000000,5.828,FALSE
Scary Movie 5,35,7405,11/04/2013,4.8,2203,20000000,3.508,TRUE
Ice Age: Continental Drift,16,9383,27/06/2012,6.3,6153,95000000,2.548,TRUE
The Warrior's Way,12,2965,01/12/2010,6.5,411,42000000,1.792,FALSE
The Equalizer,53,41096,24/09/2014,7.2,6895,55000000,14.704,TRUE
Casino Royale,12,7576,14/11/2006,7.5,8474,150000000,24.637,TRUE
A Star Is Born,18,3528,03/10/2018,7.5,9828,36000000,9.837,TRUE
The Addams Family,10751,75234,10/10/2019,6.7,1632,40000000,15.736,TRUE
Shrek Forever After,35,521,16/05/2010,6.3,5657,165000000,6.968,TRUE
Batman v Superman: Dawn of Justice,28,174,23/03/2016,5.9,15273,250000000,9.363,TRUE
Blade Runner 2049,878,79529,04/10/2017,7.5,10156,150000000,6.371,TRUE
Shrek the Third,14,521,17/05/2007,6.2,6993,160000000,6.968,TRUE
Madagascar,10751,520,25/05/2005,6.9,8688,75000000,8.883,TRUE
Apocalypto,28,4564,07/12/2006,7.5,4141,40000000,2.247,TRUE
Pain & Gain,80,4,18/04/2013,6.2,3540,25000000,21.262,TRUE
The Shack,18,491,03/03/2017,7.4,1572,20000000,10.722,TRUE
Colombiana,28,11473,27/07/2011,6.6,2011,40000000,15.501,TRUE
Annabelle Comes Home,27,76907,26/06/2019,6.4,2554,30000000,15.323,TRUE
13 Assassins,12,882,09/09/2010,7.3,791,6000000,2.864,TRUE
Odd Thomas,9648,10843,29/01/2013,6.9,928,27000000,2.914,FALSE
Sausage Party,16,5,11/07/2016,5.7,5959,19000000,4.185,TRUE
Jupiter Ascending,878,450,04/02/2015,5.4,5686,176000003,10.688,TRUE
Beverly Hills Chihuahua,35,2,03/10/2008,5.3,820,20000000,6.041,TRUE
Underdogs,16,5517,18/07/2013,6.5,327,22000000,0.6,TRUE
The French Dispatch,18,23449,21/10/2021,7.4,563,25000000,5.058,TRUE
The Meg,28,56242,09/08/2018,6.2,5556,150000000,31.819,TRUE
Maze Runner: The Scorch Trials,878,12292,09/09/2015,6.7,8514,61000000,6.752,TRUE
Hummingbird,28,1632,07/05/2013,6.2,1290,20000000,31.819,FALSE
Brave,16,2,21/06/2012,7,11061,185000000,6.516,TRUE
Orphan,27,174,24/07/2009,6.9,3843,20000000,16.961,TRUE
State of Play,53,1683,17/04/2009,6.8,1432,60000000,9.54,TRUE
The Gentlemen,28,14,03/12/2019,7.7,3727,22000000,9.849,TRUE
Coming 2 America,35,4,05/03/2021,6.7,1630,60000000,8.248,FALSE
Brothers,18,1632,22/01/2009,7,1922,26000000,11.329,TRUE
Constantine,14,79,08/02/2005,7,5250,100000000,30.496,TRUE
Insurgent,28,491,18/03/2015,6.4,8619,110000000,6.44,TRUE
Wild Card,53,59490,14/01/2015,5.6,1396,30000000,31.819,FALSE
Alien: Covenant,27,1645,09/05/2017,6,6783,97000000,8.925,TRUE
Ralph Breaks the Internet,10751,2,20/11/2018,7.2,5896,175000000,6.312,TRUE
Aladdin,12,2,22/05/2019,7.1,8188,183000000,2.158,TRUE
"I Love You, Beth Cooper",35,2890,10/07/2009,5.9,647,18000000,5.157,FALSE
Titane,18,49934,14/07/2021,6.7,354,6600000,5.309,FALSE
Blood Red Sky,27,5754,23/07/2021,7.1,961,17739525,6.505,FALSE
Confessions of a Shopaholic,35,9195,05/02/2009,6.4,2225,40000000,5.864,TRUE
Scary Movie 2,35,10958,04/07/2001,5.8,3532,45000000,11.66,TRUE
Underworld: Awakening,14,3287,19/01/2012,6.3,3350,70000000,15.552,TRUE
John Wick,28,491,22/10/2014,7.4,15006,20000000,30.496,TRUE
Dragon Ball Super: Broly,28,5542,14/12/2018,7.8,2111,1000000,3.851,TRUE
Logan,28,25,28/02/2017,7.8,16237,97000000,20.496,TRUE
Rise of the Guardians,10751,521,21/11/2012,7.3,5353,145000000,9.949,TRUE
The Purge,878,33,31/05/2013,6.3,6930,3000000,10.169,TRUE
X-Men: Apocalypse,28,431,18/05/2016,6.5,10860,178000000,16.016,TRUE
The Losers,28,1786,23/04/2010,6.3,1342,25000000,7.57,FALSE
Paul,12,33,14/02/2011,6.7,4526,40000000,4.185,TRUE
Bambi,16,3166,14/08/1942,7,4476,858000,1.96,TRUE
The Transporter Refueled,28,6896,02/09/2015,5.5,1197,25000000,7.794,TRUE
The Good Dinosaur,12,3,14/11/2015,6.7,4406,175000000,5.546,TRUE
Wrong Turn 3: Left for Dead,27,47,20/10/2009,5.6,780,3000000,1.27,FALSE
Godzilla: King of the Monsters,878,923,29/05/2019,6.7,4504,170000000,5.429,TRUE
Dumbo,16,3166,22/10/1941,7,3950,812000,3.685,TRUE
Sex and the City 2,35,79,26/05/2010,6.1,1338,100000000,4.828,TRUE
Cloudy with a Chance of Meatballs,16,2251,17/09/2009,6.6,4618,100000000,9.118,TRUE
Megamind,16,521,28/10/2010,6.9,5317,130000000,6.633,TRUE
Brother Bear,12,6125,23/10/2003,7.2,4317,128000000,5.568,TRUE
The Passion of the Christ,18,152,25/02/2004,7.4,3173,30000000,6.31,TRUE
The A-Team,53,10908,09/06/2010,6.4,3718,110000000,13.321,TRUE
The Experiment,53,11341,15/07/2010,6.4,923,21800000,10.884,FALSE
Maze Runner: The Death Cure,878,3672,10/01/2018,7.1,6089,62000000,6.752,TRUE
Ant-Man,878,420,14/07/2015,7.1,16311,130000000,22.509,TRUE
Wrong Turn 2: Dead End,27,25,25/08/2007,6,947,4000000,3.791,FALSE
The Twilight Saga: New Moon,12,491,18/11/2009,6,7563,50000000,28.263,TRUE
Divergent,28,491,14/03/2014,6.9,10871,85000000,6.44,TRUE
Monsters University,16,3,19/06/2013,7,8678,200000000,3.711,TRUE
Rio,16,9383,03/04/2011,6.7,5289,90000000,4.861,TRUE
The Fault in Our Stars,10749,22213,16/05/2014,7.6,9677,12000000,6.44,TRUE
Baby Driver,28,443,28/06/2017,7.5,12563,34000000,4.08,TRUE
Kubo and the Two Strings,16,11537,18/08/2016,7.7,2925,60000000,3.772,TRUE
Limitless,53,7295,08/03/2011,7.2,8622,27000000,9.837,TRUE
Ant-Man and the Wasp,28,420,04/07/2018,7,10454,140000000,22.509,TRUE
White House Down,28,34981,27/06/2013,6.4,3848,150000000,10.688,TRUE
Kaamelott - The First Chapter,12,2902,21/07/2021,7.2,319,17516235,3.261,TRUE
The Intouchables,18,9,02/11/2011,8.3,14005,13000000,2.758,TRUE
Miss Peregrine's Home for Peculiar Children,18,10893,27/09/2016,6.8,8398,110000000,11.628,TRUE
Total Recall,28,85921,02/08/2012,6,4492,125000000,10.006,TRUE
Suicide Squad,28,9993,03/08/2016,5.9,18171,175000000,18.744,TRUE
The SpongeBob SquarePants Movie,10751,4,14/11/2004,6.9,2158,30000000,3.99,TRUE
Skyline,878,12007,11/11/2010,4.9,1239,10000000,5.046,TRUE
The Expendables 3,28,342,04/08/2014,6.2,3954,90000000,18.24,TRUE
Stillwater,18,10039,29/07/2021,7,370,20000000,18.609,FALSE
I'm Not Ashamed,18,85627,21/10/2016,7.5,190,1500000,0.6,TRUE
Lucy,28,6896,25/07/2014,6.4,13554,40000000,34.211,TRUE
A Good Day to Die Hard,28,2735,06/02/2013,5.3,5373,92000000,19.242,TRUE
The Mortal Instruments: City of Bones,14,3287,21/08/2013,6.4,3898,60000000,7.112,TRUE
Kung Fu Panda 3,28,76266,23/01/2016,6.8,4413,145000000,9.183,TRUE
Sicario,28,3528,17/09/2015,7.4,6528,30000000,16.151,TRUE
Knight and Day,28,21845,15/06/2010,6.2,3523,117000000,17.341,TRUE
Megalodon,28,1311,10/08/2018,5.6,192,130178,6.14,FALSE
Spirited Away,16,10342,20/07/2001,8.5,12083,19000000,1.715,TRUE
Rango,16,4,02/03/2011,6.7,5027,135000000,18.006,TRUE
War for the Planet of the Apes,18,25,11/07/2017,7.1,7034,150000000,9.923,TRUE
The Book of Life,16,2787,01/10/2014,7.5,2053,50000000,6.524,TRUE
Hercules,16,6125,20/06/1997,7.5,5897,85000000,7.135,TRUE
White Chicks,35,5,23/06/2004,6.9,2749,37000000,3.276,TRUE
The Angry Birds Movie 2,16,91920,02/08/2019,7.2,1175,65000000,6.759,TRUE
Robin Hood,12,1645,12/05/2010,6.4,3648,200000000,9.54,TRUE
Rampage,28,73118,12/04/2018,6.5,5602,120000000,55.535,TRUE
Cowboys & Aliens,28,7,29/07/2011,5.5,4139,163000000,24.637,TRUE
Ocean's Eight,80,79,07/06/2018,7,6751,70000000,13.449,TRUE
A Dog's Purpose,12,56,19/01/2017,7.6,2579,22000000,4.051,TRUE
Cinderella,10749,2,12/03/2015,6.8,6047,95000000,10.054,TRUE
One Hundred and One Dalmatians,12,3166,25/01/1961,7.1,5018,4000000,2.744,TRUE
Wild Child,35,33,15/08/2008,6.7,1530,20000000,10.417,TRUE
The Other Guys,35,5,06/08/2010,6.3,3220,100000000,6.633,TRUE
Ferdinand,16,9383,09/12/2017,7.2,2263,111000000,10.356,TRUE
The Predator,878,1302,05/09/2018,5.6,3560,88000000,6.774,TRUE
Lockout,28,6896,12/04/2012,5.9,1452,20000000,9.943,TRUE
Sanctum,28,33,03/02/2011,5.9,773,30000000,2.108,TRUE
Sicario: Day of the Soldado,28,3528,27/06/2018,6.9,2549,35000000,5.058,TRUE
A Haunted House,35,10427,11/01/2013,5.7,1348,2500000,4.103,TRUE
How to Train Your Dragon: The Hidden World,16,521,03/01/2019,7.8,4821,129000000,4.437,TRUE
Superman: Doomsday,28,429,18/09/2007,6.7,440,3500000,5.097,FALSE
Descendants 3,10751,3213,02/08/2019,7.9,1160,15000000,11.387,FALSE
Saint Seiya: Legend of Sanctuary,28,5542,21/06/2014,6.4,504,23000000,5.304,FALSE
Death Race 2,28,9137,12/11/2010,5.8,837,7000000,4.461,FALSE
Now You See Me,53,491,29/05/2013,7.4,13175,75000000,25.201,TRUE
Bedtime Stories,14,2,24/12/2008,6.1,2292,80000000,9.491,TRUE
Despicable Me,10751,6704,08/07/2010,7.2,12672,69000000,10.33,TRUE
Zombieland: Double Tap,27,11733,09/10/2019,7,4138,42000000,25.201,TRUE
Cars,16,3,08/06/2006,6.9,11062,120000000,21.902,TRUE
How to Train Your Dragon 2,14,521,05/06/2014,7.7,7749,145000000,4.437,TRUE
Central Intelligence,28,33,15/06/2016,6.4,4606,50000000,15.295,TRUE
Fifty Shades of Black,10749,10427,28/01/2016,4.9,1109,20000000,4.103,TRUE
Movie 43,35,8891,01/01/2013,4.5,1818,6000000,20.496,TRUE
The Incredible Hulk,878,420,12/06/2008,6.2,9201,150000000,10.058,TRUE
Fantasia,16,2,13/11/1940,7.4,2321,2280000,0.6,TRUE
Quantum of Solace,12,7576,31/10/2008,6.3,6239,200000000,24.637,TRUE
Jumanji: Welcome to the Jungle,12,350,09/12/2017,6.8,11208,90000000,55.535,TRUE
Jackass 3D,35,746,15/10/2010,6.6,1015,20000000,3.457,TRUE
The Hunger Games: Mockingjay - Part 2,28,1632,18/11/2015,6.9,10149,160000000,14.078,TRUE
Shutter Island,18,11317,14/02/2010,8.2,18878,80000000,17.509,TRUE
American Reunion,35,33,04/04/2012,6.3,3653,50000000,2.976,TRUE
Annabelle: Creation,27,76907,03/08/2017,6.6,4539,15000000,3.692,TRUE
Igor,16,2879,19/09/2008,5.9,440,25000000,7.774,TRUE
Brian Banks,18,33603,09/08/2019,7.3,118,10,3.287,FALSE
Terminator: Dark Fate,28,574,23/10/2019,6.5,3793,185000000,9.184,TRUE
Miracles from Heaven,18,5,17/03/2016,7.4,922,16000000,5.121,TRUE
Turbo: A Power Rangers Movie,28,2106,27/03/1997,5.7,201,10000000,1.858,TRUE
Star Wars,12,1,25/05/1977,8.2,16307,11000000,7.871,TRUE
13 Hours: The Secret Soldiers of Benghazi,10752,4,14/01/2016,7.2,2576,50000000,9.348,TRUE
The Princess and the Frog,10749,2,08/12/2009,7.1,4207,105000000,7.87,TRUE
Fantastic Beasts: The Crimes of Grindelwald,12,174,14/11/2018,6.9,8526,200000000,7.631,TRUE
Kingsman: The Golden Circle,28,25,20/09/2017,7,8108,104000000,4.375,TRUE
The Hunger Games: Catching Fire,12,1632,15/11/2013,7.4,14414,130000000,14.078,TRUE
Creed II,18,21,21/11/2018,6.9,3963,50000000,10.458,TRUE
Bride Wars,35,711,09/01/2009,6.2,2490,30000000,5.312,TRUE
xXx: Return of Xander Cage,28,88943,13/01/2017,5.8,5032,85000000,21.079,TRUE
Skyscraper,28,34081,11/07/2018,6.3,3947,125000000,55.535,TRUE
9,28,8601,19/08/2009,6.8,2784,30000000,7.521,TRUE
Bumblebee,28,2598,15/12/2018,6.7,4683,135000000,34.777,TRUE
Marley & Me,35,5219,25/12/2008,7.2,3796,60000000,21.902,TRUE
Crawl,53,122323,11/07/2019,6.3,2333,13500000,13.292,TRUE
He's Just Not That Into You,35,19813,06/02/2009,6.5,2944,40000000,4.633,TRUE
Star Wars: The Force Awakens,28,1,15/12/2015,7.3,16381,245000000,10.297,TRUE
WALL·E,16,3,22/06/2008,8.1,15026,180000000,2.274,TRUE
Justice League,28,429,15/11/2017,6.2,10929,300000000,9.363,TRUE
Star Wars: The Rise of Skywalker,28,1,18/12/2019,6.5,7241,250000000,6.807,TRUE
The Jungle Book,10751,3166,18/10/1967,7.3,5058,4000000,1.223,TRUE
Machete,28,10808,01/09/2010,6.3,2587,20000000,8.309,TRUE
Mechanic: Resurrection,28,342,25/08/2016,5.9,2630,40000000,31.819,TRUE
The Man from Nowhere,28,868,04/08/2010,7.7,921,1255000,2.561,TRUE
Spy Kids,28,10807,18/03/2001,5.8,2684,35000000,3.232,TRUE
Mission: Impossible - Ghost Protocol,28,4,07/12/2011,7,7975,145000000,17.341,TRUE
Trolls,10751,521,13/10/2016,6.7,2904,125000000,6.96,TRUE
Insidious,27,7263,13/09/2010,6.9,5216,1500000,13.279,TRUE
X-Men: Days of Future Past,28,7505,15/05/2014,7.5,12907,250000000,20.496,TRUE
Kung Fu Panda 2,16,521,25/05/2011,6.9,5276,150000000,9.183,TRUE
Beauty and the Beast,10751,2,16/03/2017,7,13769,160000000,12.797,TRUE
Captain America: The Winter Soldier,28,420,20/03/2014,7.7,15296,170000000,9.508,TRUE
The Hitman's Bodyguard,53,48738,16/08/2017,6.9,4788,30000000,56.571,TRUE
Split,27,33,15/11/2016,7.3,14437,9000000,16.016,TRUE
Ice Age: Collision Course,12,9383,23/06/2016,6,3560,105000000,2.548,TRUE
Django Unchained,18,308,25/12/2012,8.1,21568,100000000,11.305,TRUE
The Chronicles of Narnia: Prince Caspian,12,2,15/05/2008,6.6,5083,225000000,8.95,TRUE
The Martian,18,1645,30/09/2015,7.7,16310,108000000,18.609,TRUE
Once Upon a Time… in Hollywood,35,437,24/07/2019,7.5,9613,95000000,17.509,TRUE
Edge of Tomorrow,28,41624,27/05/2014,7.6,11129,178000000,17.341,TRUE
American Pie,35,491,09/07/1999,6.5,6179,11000000,2.976,TRUE
Soul Surfer,10751,138269,08/04/2011,7.1,986,18000000,7.409,TRUE
Jack Reacher: Never Go Back,28,82819,19/10/2016,5.8,3753,60000000,17.341,TRUE
The Incredible Burt Wonderstone,35,12,14/03/2013,5.6,1175,30000000,10.33,FALSE
Reminiscence,878,7493,19/08/2021,7,883,68000000,20.496,FALSE
Freddy vs. Jason,27,53063,15/08/2003,6,1866,30000000,5.551,TRUE
Scouts Guide to the Zombie Apocalypse,35,8000,23/10/2015,6.5,1425,15000000,4.758,FALSE
Enchanted,35,2,20/11/2007,6.8,4399,85000000,13.204,TRUE
Dead Silence,27,23019,16/03/2007,6.4,1699,20000000,4.491,TRUE
Kong: Skull Island,28,923,08/03/2017,6.5,8576,185000000,19.487,TRUE
"Big Mommas: Like Father, Like Son",80,508,16/02/2011,5.6,950,32000000,11.96,TRUE
The Fox and the Hound,12,2,10/07/1981,7.1,2556,12000000,3.26,TRUE
The Shining,27,88,23/05/1980,8.2,13653,19000000,10.563,TRUE
The Call of the Wild,12,787,19/02/2020,7.6,2703,109000000,10.297,FALSE
Star Wars: The Last Jedi,878,1,13/12/2017,6.9,12436,200000000,7.871,TRUE
Madagascar 3: Europe's Most Wanted,16,521,06/06/2012,6.6,4876,145000000,8.883,TRUE
Tropic Thunder,28,12379,09/08/2008,6.6,4628,92000000,8.883,TRUE
Madagascar: Escape 2 Africa,10751,521,30/10/2008,6.4,5462,150000000,8.883,TRUE
Teenage Mutant Ninja Turtles: Out of the Shadows,28,47354,01/06/2016,6,2741,135000000,14.324,TRUE
Red Dawn,28,1836,15/03/2012,5.6,1253,65000000,13.942,FALSE
The Exorcist,27,48184,31/05/1973,7.7,5979,8000000,4.025,TRUE
The Three Stooges,35,8890,13/04/2012,5.7,415,30000000,7.735,TRUE
Alita: Battle Angel,28,10807,31/01/2019,7.2,7064,170000000,9.187,TRUE
Wrong Turn 5: Bloodlines,27,491,23/10/2012,5.3,654,3000000,2.123,FALSE
Aladdin,16,2,25/11/1992,7.6,9277,28000000,1.456,TRUE
It,27,41624,06/09/2017,7.2,15843,35000000,11.954,TRUE
The Green Mile,14,97,10/12/1999,8.5,13087,60000000,24.633,TRUE
Sherlock Holmes: A Game of Shadows,12,174,22/11/2011,7.1,8619,125000000,16.608,TRUE
Focus,10749,21914,25/02/2015,6.9,6405,50100000,18.744,TRUE
Anastasia,16,11231,20/11/1997,7.6,4419,53000000,5.851,TRUE
Year One,35,5,18/06/2009,4.9,1433,60000000,9.183,TRUE
The Wizard of Oz,12,21,15/08/1939,7.6,4333,2777000,0.781,TRUE
Dark Phoenix,878,431,05/06/2019,6,4900,200000000,11.434,TRUE
The Curse of La Llorona,27,76907,17/04/2019,5.7,1784,9000000,11.823,TRUE
Pokémon the Movie: Hoopa and the Clash of Ages,10751,12655,18/07/2015,6.7,184,150000000,1.359,FALSE
Don't Look Up,18,125055,07/12/2021,0,0,75000000,17.509,FALSE
One Day,18,5420,02/03/2011,7.4,3350,15000000,14.354,TRUE
Ford v Ferrari,18,25,13/11/2019,8,5231,97600000,14.445,TRUE
Bolt,16,6125,21/11/2008,6.5,4782,150000000,9.8,TRUE
Deep Blue Sea 3,28,139626,25/08/2020,6,183,5000000,11.306,FALSE
The Godfather,18,4,14/03/1972,8.7,15112,6000000,10.065,TRUE
Tooth Fairy,35,444,14/01/2010,5.5,1601,48000000,55.535,TRUE
Don't Breathe,27,3287,08/06/2016,7,5779,9900000,12.025,TRUE
Exodus: Gods and Kings,12,52184,03/12/2014,5.8,3793,140000000,14.445,TRUE
Fight Club,18,508,15/10/1999,8.4,22900,63000000,10.058,TRUE
Wrong Turn,27,53350,30/05/2003,6.3,1909,12600000,3.549,TRUE
Avatar 2,28,1246,14/12/2022,0,0,250000000,10.722,FALSE
How to Train Your Dragon,14,521,10/03/2010,7.8,10458,165000000,4.437,TRUE
Onward,10751,2,29/02/2020,7.8,4667,200000000,45.338,FALSE
Snow White and the Huntsman,12,33,30/05/2012,6,6769,170000000,28.263,TRUE
Rambo: Last Blood,28,1020,19/09/2019,6.5,2855,50000000,18.24,TRUE
Mission: Impossible - Fallout,28,4,13/07/2018,7.4,6236,178000000,17.341,TRUE
Baywatch,35,90835,12/05/2017,6.1,6683,69000000,55.535,TRUE
The Tourist,28,5,08/12/2010,6.2,4491,100000000,18.006,TRUE
The Expendables 2,28,925,08/08/2012,6.3,5487,100000000,18.24,TRUE
3 Idiots,18,3781,23/12/2009,8,1722,9000000,1.769,TRUE
Rush Hour,28,961,18/09/1998,7,3470,33000000,17.745,TRUE
Bound by Honor,28,915,05/02/1993,8.1,832,35000000,2.304,FALSE
The Matrix Reloaded,12,79,15/05/2003,7,8309,150000000,30.496,TRUE
Power Rangers,878,1632,23/03/2017,6.3,3712,100000000,4.492,TRUE
Rise of the Planet of the Apes,53,6332,03/08/2011,7.3,9551,93000000,6.054,TRUE
Seventh Son,12,40890,12/12/2014,5.5,2085,95000000,10.208,TRUE
Olympus Has Fallen,28,1020,20/03/2013,6.3,5487,70000000,13.78,TRUE
Godzilla,28,41624,14/05/2014,6.2,7281,160000000,6.554,TRUE
Peter Pan,16,6,05/02/1953,7.2,4303,4000000,1.242,TRUE
Drive,18,7263,06/08/2011,7.6,9815,15000000,6.371,TRUE
Rio 2,10751,9383,19/03/2014,6.5,2696,103000000,4.861,TRUE
22 Jump Street,80,5,05/06/2014,6.9,6653,50000000,8.342,TRUE
Fantastic Four,28,20478,05/08/2015,4.4,4949,120000000,6.789,TRUE
Spy Kids 3-D: Game Over,28,7405,25/07/2003,5.1,1700,38000000,8.056,TRUE
Annabelle,27,76907,02/10/2014,5.7,4975,6500000,21.101,TRUE
I Am Legend,18,79,12/12/2007,7.2,12710,150000000,18.744,TRUE
Hercules,28,4,23/07/2014,5.7,3386,100000000,55.535,TRUE
Despicable Me 3,28,6704,15/06/2017,6.4,5745,80000000,10.33,TRUE
Howl's Moving Castle,14,10342,19/11/2004,8.4,6827,24000000,2.324,TRUE
Green Lantern: Emerald Knights,28,429,09/04/2011,6.7,386,3500000,9.872,FALSE
The Dark Knight,18,429,14/07/2008,8.5,26251,185000000,14.445,TRUE
Gone Girl,9648,508,01/10/2014,7.9,14992,61000000,9.363,TRUE
Funny People,35,2608,30/07/2009,5.9,972,75000000,9.491,FALSE
The Lone Ranger,28,2,03/07/2013,6.1,4919,215000000,18.006,TRUE
The Great Wall,28,86433,16/12/2016,5.9,4060,150000000,18.609,TRUE
Empire State,28,46961,03/09/2013,5.4,534,11000000,6.138,FALSE
Do You Do You Saint-Tropez,35,694,14/07/2021,4.9,33,16438275,5.389,FALSE
Gifted,10751,89578,12/04/2017,8.1,4134,7000000,9.508,TRUE
(500) Days of Summer,35,43,17/07/2009,7.3,7980,7500000,9.437,TRUE
The Hunger Games,878,1632,12/03/2012,7.2,18535,75000000,14.078,TRUE
Wrong Turn 4: Bloody Beginnings,27,491,17/10/2011,5.7,739,3000000,0.84,FALSE
Knock Knock,18,55497,26/06/2015,5.2,2340,2500000,30.496,TRUE
The Craft,27,5,03/05/1996,6.7,1319,15000000,7.835,TRUE
The Mermaid,35,5635,08/02/2016,6.4,241,60720000,2.599,TRUE
Jennifer's Body,27,2890,18/09/2009,5.8,2786,16000000,14.324,TRUE
Death Race: Inferno,28,9137,04/01/2013,5.8,565,6500000,4.461,FALSE
Transformers: Revenge of the Fallen,878,7,19/06/2009,6.1,6756,200000000,7.624,TRUE
The Notebook,10749,12,25/06/2004,7.9,9150,29000000,11.285,TRUE
Glass,53,33,16/01/2019,6.7,6626,20000000,16.016,TRUE
Parker,28,7215,23/01/2013,6,2485,35000000,31.819,TRUE
Home Alone 3,35,25,12/12/1997,5.3,2309,32000000,2.797,TRUE
Rush Hour 3,28,12,08/08/2007,6.4,2326,140000000,2.974,TRUE
The Revenant,37,77845,25/12/2015,7.5,15158,135000000,17.509,TRUE
Lady and the Tramp,10751,2,22/06/1955,7.1,4223,4000000,1.708,TRUE
The Shawshank Redemption,18,97,23/09/1994,8.7,20171,25000000,3.245,TRUE
The Purge: Anarchy,27,729,17/07/2014,6.7,5359,9000000,12.644,TRUE
Nightcrawler,80,24049,23/10/2014,7.7,8496,8500000,12.898,TRUE
Seeking Justice,28,1205,02/09/2011,5.9,769,17000000,12.579,FALSE
The Equalizer 2,28,41096,19/07/2018,6.6,3726,62000000,14.704,TRUE
Guardians of the Galaxy,28,420,30/07/2014,7.9,23409,170000000,13.45,TRUE
The Princess Switch: Switched Again,10751,2090,19/11/2020,7,642,10000000,15.716,FALSE
The Change-Up,35,33,05/08/2011,6.1,2145,52000000,9.561,TRUE
Paul Blart: Mall Cop,28,46222,15/01/2009,5.4,1965,26000000,5.002,TRUE
The Mummy Returns,12,33,04/05/2001,6.3,5489,98000000,7.902,TRUE
Kingsman: The Secret Service,80,25,13/12/2014,7.6,13646,81000000,3.681,TRUE
Woody Woodpecker,16,5556,05/10/2017,6.7,565,10000000,6.083,FALSE
Red Tails,18,1,19/01/2012,6.5,465,58000000,10.382,FALSE
Desire,18,18519,06/10/2011,5.3,396,1344000,8.999,FALSE
Legend,80,10163,09/09/2015,6.9,2658,25000000,68.407,TRUE
The Heat,28,7076,27/06/2013,6.6,3265,43000000,9.315,TRUE
Taken,28,11845,18/02/2008,7.4,9109,25000000,13.321,TRUE
Alice in Wonderland,16,6125,28/07/1951,7.2,4720,3000000,1.619,TRUE
